所在吧	回复对象	回复内容	回复时间	贴子链接
最爱春雷	雷老师为什么需要道歉?	谢谢理解肯定支持！	2022年11月24日 14时02分44秒	https://tieba.baidu.com/p/8157038742?fid=27779526&pid=146196624213&cid=0#146196624213
最爱春雷	雷老师为什么需要道歉?	谢谢支持！	2022年11月24日 14时02分24秒	https://tieba.baidu.com/p/8157038742?fid=27779526&pid=146196624213&cid=0#146196621702
最爱春雷	雷老师为什么需要道歉?	谢谢支持！	2022年11月24日 14时02分03秒	https://tieba.baidu.com/p/8157038742?fid=27779526&pid=146196624213&cid=0#146196619087
最爱春雷	雷老师为什么需要道歉?	谢谢理解肯定支持！	2022年11月24日 14时01分45秒	https://tieba.baidu.com/p/8157038742?fid=27779526&pid=146196624213&cid=0#146196616823
最爱春雷	雷老师为什么需要道歉?	你凭什么“责令”？	2022年11月24日 13时33分29秒	https://tieba.baidu.com/p/8157038742?fid=27779526&pid=146196624213&cid=0#146196402153
最爱春雷	雷老师为什么需要道歉?	谢谢理解肯定！	2022年11月24日 13时32分27秒	https://tieba.baidu.com/p/8157038742?fid=27779526&pid=146196624213&cid=0#146196394365
最爱春雷	雷老师为什么需要道歉?	谢谢理解肯定支持！	2022年11月24日 13时31分27秒	https://tieba.baidu.com/p/8157038742?fid=27779526&pid=146196624213&cid=0#146196386896
最爱春雷	雷老师为什么需要道歉?	层主能有理有据指出我理论的哪一条错误？为什么错误吗？不要因为和你们错误的不一样就是错误！	2022年11月24日 13时30分31秒	https://tieba.baidu.com/p/8157038742?fid=27779526&pid=146196624213&cid=0#146196379815
最爱春雷	雷老师为什么需要道歉?	哪里有“不允许楼主随意删贴，这是贴吧的基本常识”？就是我不知道这个规定，告知我，警告我，也是可以的！你们随心所欲的封禁，难道就是你们道德素质的表现？	2022年11月24日 13时28分10秒	https://tieba.baidu.com/p/8157038742?fid=27779526&pid=146196624213&cid=0#146196361877
最爱春雷	雷老师为什么需要道歉?	我对删帖的理由做出了解释：是为了不干扰主题帖子内容的讨论。错了吗？你问一问被删除的人：哪一条不应该删除？	2022年11月24日 13时22分08秒	https://tieba.baidu.com/p/8157038742?fid=27779526&pid=146196624213&cid=0#146196316214
最爱春雷	雷老师为什么需要道歉?	你们的辱骂我的人以不友好的方式激怒我，“故意挑起争端”你们的眼睛瞎了？！	2022年11月24日 13时17分37秒	https://tieba.baidu.com/p/8157038742?fid=27779526&pid=146196624213&cid=0#146196281717
最爱春雷	雷老师为什么需要道歉?	你继续自甘堕落，彻底变成一条疯狗，供全世界的专家学者观赏你的丑态，也是一件不错的事！	2022年11月24日 13时13分50秒	https://tieba.baidu.com/p/8157038742?fid=27779526&pid=146196624213&cid=0#146196252467
最爱春雷	雷老师为什么需要道歉?	层主无知无德无赖表现还少吗？还是没有道德素质明白？	2022年11月24日 13时12分44秒	https://tieba.baidu.com/p/8157038742?fid=27779526&pid=146196624213&cid=0#146196243851
最爱春雷	雷老师为什么需要道歉?	封禁和责令道歉，是吧务组的共同决定的吗？是全部吧务组的？还是部分的人？是哪几个人？	2022年11月24日 13时11分20秒	https://tieba.baidu.com/p/8157038742?fid=27779526&pid=146196624213&cid=0#146196233172
最爱春雷	四无萌新请教雷老师一个问题	亚里士多德是古代最伟大的科学家。	2022年11月24日 13时55分16秒	https://tieba.baidu.com/p/8156386593?fid=27779526&pid=146196567020&cid=0#146196567020
最爱春雷	为什么要辱骂？	谢谢楼主理解肯定！	2022年11月24日 13时46分57秒	https://tieba.baidu.com/p/8157087886?fid=27779526&pid=146196503855&cid=0#146196503855
最爱春雷	看看无知无赖的民科老猴子的认识理解错误	楼主本身就没有道德素质。我不和这种没有道德素质的人争论！ 况且，楼主的理解认识都是错误的！	2022年11月24日 13时44分16秒	https://tieba.baidu.com/p/8157047072?fid=27779526&pid=146196483579&cid=0#146196483579
最爱春雷	雷老师认为哪些管理员应该撤掉？	你也可能解决不了。	2022年11月24日 13时36分46秒	https://tieba.baidu.com/p/8157185612?fid=27779526&pid=146196426545&cid=0#146196426545
最爱春雷	请雷老师提名管理员	现在这么多不是管理员的吧友里面，可以当管理员的： 黑蔬菜、王司徒本、 陈睿、我裂开了，DoubleEgo、连保卡璞鳍鳍、柯斯丘什科、 唐雪瑞川、Pretender..................	2022年11月24日 11时36分41秒	https://tieba.baidu.com/p/8157004600?fid=27779526&pid=146195511628&cid=0#146195511628
最爱春雷	雷老师需要道歉吗？	谢谢楼主仗义执言！	2022年11月24日 10时35分42秒	https://tieba.baidu.com/p/8156931509?fid=27779526&pid=146195015132&cid=0#146195015132
最爱春雷	雷老师可以提议将某人封禁	回楼主： 封禁一天也不起作用。让他们表现自己的无知无德吧？ 关键是贴吧中有知有德的正义之士太少太少了。 贴吧中之所以无知无德的垃圾太多，是因为一些管理人员都是垃圾！他们害怕创新真理，围攻辱骂，无理取闹，千方百计破坏真理的讨论和传播！ 我不会害怕任何垃圾邪恶的！我只是为人类发展的今天，人群中还有这么多的人渣垃圾而感到痛心和悲哀！	2022年11月24日 10时25分41秒	https://tieba.baidu.com/p/8156010844?fid=27779526&pid=146194934754&cid=0#146194934754
最爱春雷	你不道歉，我不难过	难道这不是人渣垃圾表现吗？楼主会支持你的！	2022年11月24日 09时16分40秒	https://tieba.baidu.com/p/8156218466?fid=27779526&pid=146194415672&cid=0#146194415672
最爱春雷	你不道歉，我不难过	只有人渣垃圾才不知道这是辱骂！楼主知道不知道是谁在辱骂吗？	2022年11月24日 09时14分40秒	https://tieba.baidu.com/p/8156218466?fid=27779526&pid=146194415672&cid=0#146194401680
最爱春雷	请雷老师向全体吧友道歉	封禁理由是楼主的规定？！ 封禁结束后向吧友道歉。也是楼主的规定？！ 你们不断围攻辱骂攻击我，我应该向你们道歉？！ 向你们道歉？！	2022年11月23日 15时29分47秒	https://tieba.baidu.com/p/8155664560?fid=27779526&pid=146188257442&cid=0#146188257442
最爱春雷	我只和投食的人讨论交流（翻译）	冒充“ 雷绍武”或者“作者 雷绍武”发帖子的人，都是无知无德无赖无耻的人渣垃圾表现！	2022年11月23日 11时57分29秒	https://tieba.baidu.com/p/8142027345?fid=27779526&pid=146186606519&cid=0#146186606519
最爱春雷	请教雷老师一个关于运动力的问题	回复 @ :这就是垃圾表现！你是这么积极探索我的理论的？	2022年11月23日 11时50分25秒	https://tieba.baidu.com/p/8154280151?fid=27779526&pid=146186549889&cid=0#146186549889
最爱春雷	@巴萨等你复兴：关键问题：电流是由什么构成的？	@ 巴萨等你复兴 :问题4： 用电器后面的电荷当然没有电能了！不能流动了！还叫电流吗？	2022年11月23日 11时45分34秒	https://tieba.baidu.com/p/8151921051?fid=27779526&pid=146186510145&cid=0#146186510145
